state,population,members,temples,missions,districts,stakes,wards,branches,congregations,family_history_centers
Alabama,4903185,37765,1,1,0,8,48,28,76,44
Alaska,731545,33495,1,1,0,8,59,21,80,15
Arizona,7278717,436521,6,6,0,115,842,84,926,74
Arkansas,3017804,32307,0,2,0,7,46,23,69,25
California,39512223,756507,7,15,0,153,1092,137,1229,228
Colorado,5758736,150509,2,4,0,35,279,32,311,64
Connecticut,3565287,15946,1,0,0,3,29,7,36,10
Delaware,973764,5634,0,0,0,2,10,2,12,3
District of Columbia,705749,3144,0,0,0,0,3,1,4,1
Florida,21477737,160266,2,4,0,33,219,48,267,84
Georgia,10617423,87411,1,2,0,17,130,34,164,44
Hawaii,1415872,75009,2,1,0,16,125,16,141,26
Idaho,1787065,462069,5,3,0,132,1128,53,1181,70
Illinois,12671821,56888,2,1,0,12,94,25,119,42
Indiana,6732219,45952,1,1,0,11,76,25,101,40
Iowa,3155070,28402,0,1,0,8,42,26,68,30
Kansas,2913314,38311,0,1,0,7,60,15,75,29
Kentucky,4467673,35886,1,1,0,8,49,30,79,28
Louisiana,4648794,29589,1,1,0,7,35,20,55,15
Maine,1344212,10958,0,0,0,2,18,8,26,10
Maryland,6045680,43411,1,2,0,9,63,14,77,14
Massachusetts,6892503,28040,1,1,0,6,42,15,57,18
Michigan,9986857,45074,1,2,1,8,60,36,96,43
Minnesota,5639632,33276,1,1,0,8,52,23,75,29
Mississippi,2976149,21649,0,0,0,4,29,21,50,20
Missouri,6137428,72525,2,2,0,18,132,22,154,51
Montana,1068778,50552,1,1,0,13,87,39,126,50
Nebraska,1934408,25098,1,1,0,5,40,17,57,18
Nevada,3080156,184703,2,3,0,42,318,32,350,34
New Hampshire,1359711,8872,0,1,0,3,16,5,21,6
New Jersey,8882190,34173,0,1,0,6,42,22,64,20
New Mexico,2096829,69488,1,2,0,14,103,35,138,31
New York,19453561,83293,2,2,1,17,92,48,140,65
North Carolina,10488084,89083,1,2,0,17,141,32,173,51
North Dakota,762062,11550,1,1,0,3,21,5,26,7
Ohio,11689100,62623,1,2,0,13,102,23,125,46
Oklahoma,3956971,49227,1,1,0,9,74,19,93,30
Oregon,4217737,153540,2,3,0,35,259,47,306,76
Pennsylvania,12801989,52290,1,2,0,12,78,30,108,46
Rhode Island,1059361,4259,0,0,0,1,6,2,8,1
South Carolina,5148714,41358,1,1,0,9,59,12,71,23
South Dakota,884659,10610,0,0,0,2,12,18,30,13
Tennessee,6829174,52920,2,2,0,12,79,31,110,35
Texas,28995881,362037,4,8,2,77,599,124,723,138
Utah,3205958,2126216,17,10,1,604,4914,315,5229,170
Vermont,623989,4623,0,0,0,1,7,5,12,8
Virginia,8535519,96496,0,2,0,22,173,31,204,46
Washington,7614893,289479,3,7,0,62,476,68,544,97
West Virginia,1792147,17143,0,1,0,4,24,11,35,14
Wisconsin,5822434,27125,0,1,0,6,48,19,67,29
Wyoming,578759,67729,1,1,0,17,145,26,171,46